Date,Amount,Subcategory,ITEM,,,,
04/11/2019,-16,PAYMENT,IZ,,,,
04/11/2019,-18.74,PAYMENT,REIGATE PARISH PTA,,,,
04/11/2019,-6.1,PAYMENT,SAINSBURYS S/MKTS,,,,
04/11/2019,-13.7,PAYMENT,CAFE AU LAIT,,,,
04/11/2019,-9.98,PAYMENT,WH SMITH,,,,
04/11/2019,-3.24,PAYMENT,MILK&MORE,,,,
01/11/2019,-600,FT,BOCKETTS FARM PARK,,,,
01/11/2019,-29.4,PAYMENT,REDHILL KEBAB HOUS,,,,
01/11/2019,-25.9,PAYMENT,CLAIRE'S ACCESSORI,,,,
01/11/2019,-10.6,PAYMENT,SUMUP,,,,
01/11/2019,-10,PAYMENT,BOCKETTS FARM PARK,,,,
01/11/2019,-8.7,PAYMENT,TEALITH,,,,
01/11/2019,-8.1,PAYMENT,BOCKETTS FARM PARK,,,,
01/11/2019,-7.3,PAYMENT,BOCKETTS FARM PARK,,,,
01/11/2019,-5.9,PAYMENT,L&R CONV ST LTD,,,,
01/11/2019,-4.45,PAYMENT,PUCCINOS REDHILL P,,,,
01/11/2019,-3.99,PAYMENT,BOCKETTS FARM PARK,,,,
01/11/2019,-3.85,PAYMENT,GIRAFFE CONCEPTS L,,,,
01/11/2019,-1.99,PAYMENT,UBER TRIP HELP.UBE,,,,
01/11/2019,-36,PAYMENT,UBER TRIP HELP.UBE,,,,
01/11/2019,-5.75,PAYMENT,Prime Video,,,,
01/11/2019,-5,PAYMENT,SAINSBURYS S/MKTS,,,,
01/11/2019,-3.49,PAYMENT,PRET A MANGER,,,,
01/11/2019,-20,CASH,PUCCINOS REDHILL P,,,,
01/11/2019,-2400,DIRECTDEBIT,NEW SOUTHERN RAILW,,,,
01/11/2019,-17.5,DIRECTDEBIT,Saba UK-GTR,,,,
31/10/2019,7767.08,DIRECTDEP,PUCCINOS REDHILL P,,,,
31/10/2019,-700,FT,SAINSBURY'S S/MKTS,,,,
31/10/2019,-1,FT,ALDI STORES LTD,,,,
31/10/2019,-6,PAYMENT,HOBBYCRAFT,,,,
31/10/2019,-4,PAYMENT,CO-OP GROUP,,,,
31/10/2019,-3.5,PAYMENT,SAINSBURYS S/MKTS,,,,
31/10/2019,-2.7,PAYMENT,HOBBYCRAFT,,,,
31/10/2019,-2,PAYMENT,B&M RETAIL,,,,
31/10/2019,-20,CASH,WWW.FREEDOM-LEISUR,,,,
31/10/2019,-585.03,DIRECTDEBIT,NATIONAL RAILCARD,,,,
30/10/2019,-24,PAYMENT,MFG MERSTHAM,,,,
30/10/2019,-10.45,PAYMENT,URBAN EXPRESS,,,,
30/10/2019,-4.39,PAYMENT,WM MORRISONS STORE,,,,
30/10/2019,-2.45,PAYMENT,TRIP.COM,,,,
30/10/2019,-26.8,PAYMENT,MILK&MORE,,,,
30/10/2019,-7.15,PAYMENT,WM MORRISONS STORE,,,,
30/10/2019,-2,PAYMENT,PRIORY FARM NURSER,,,,
29/10/2019,-7.45,PAYMENT,COSTA COFFEE,,,,
29/10/2019,-3.25,PAYMENT,PUCCINOS REDHILL P,,,,
28/10/2019,-50,FT,URBAN EXPRESS,,,,
28/10/2019,-700,FT,EBAY.CO.UK/CC,,,,
28/10/2019,-29.72,PAYMENT,W M MORRISONS.COM,,,,
28/10/2019,-21.88,PAYMENT,COSTA COFFEE,,,,
28/10/2019,-10,PAYMENT,WM MORRISONS STORE,,,,
28/10/2019,-5.1,PAYMENT,CICERO TRADING LIM,,,,
28/10/2019,-3.75,PAYMENT,SAINSBURYS S/MKTS,,,,
28/10/2019,-3.5,PAYMENT,RONTEC REIGATE MAN,,,,
28/10/2019,-2.99,PAYMENT,ROYAL MUSEUMS GREE,,,,
28/10/2019,-32.39,PAYMENT,CO-OP GROUP FOOD,,,,
28/10/2019,-30,PAYMENT,RONTEC REIGATE MAN,,,,
28/10/2019,-7.99,PAYMENT,WATERSTONES,,,,
28/10/2019,-1.99,PAYMENT,PP JCT,,,,
28/10/2019,-20,CASH,VANBRUGH COMMUNITY,,,,
25/10/2019,-20,PAYMENT,ROYAL MUSEUMS GREE,,,,
25/10/2019,-3.48,PAYMENT,VANBRUGH COMMUNITY,,,,
25/10/2019,-2.68,PAYMENT,POST OFFICE COUNTE,,,,
25/10/2019,-44.55,PAYMENT,JUSTGIVING.COM,,,,
25/10/2019,-3.24,PAYMENT,LEWISHAM PARKING,,,,
24/10/2019,-10.65,PAYMENT,MFG GATTON POINT,,,,
24/10/2019,-10,PAYMENT,COSTA COFFEE,,,,
24/10/2019,-3.25,PAYMENT,MILK&MORE,,,,
24/10/2019,-2,PAYMENT,PUCCINOS REDHILL P,,,,
24/10/2019,-1.09,PAYMENT,PAYPAL,,,,
24/10/2019,-20,CASH,IZ,,,,
24/10/2019,-56.95,PAYMENT,EAST SURREY HOSPIT,,,,
24/10/2019,-16.81,PAYMENT,COSTA COFFEE,,,,
23/10/2019,-78.52,PAYMENT,INSIDE OUT HEALTH,,,,
22/10/2019,-2.7,PAYMENT,CO-OP GROUP FOOD,,,,
22/10/2019,-31.04,PAYMENT,W M MORRISONS.COM,,,,
22/10/2019,-54.58,DIRECTDEBIT,URBAN EXPRESS,,,,
21/10/2019,-50,FT,EAST SURREY HOSPIT,,,,
21/10/2019,-3.3,FT,TWO MANY COOKS,,,,
21/10/2019,-22.65,PAYMENT,ALDI STORES LTD,,,,
21/10/2019,-22.32,PAYMENT,WM MORRISONS STORE,,,,
21/10/2019,-20.03,PAYMENT,CO-OP GROUP FOOD,,,,
21/10/2019,-13.9,PAYMENT,PP JCT,,,,
21/10/2019,-8.3,PAYMENT,EAST SURREY HOSPIT,,,,
21/10/2019,-7.86,PAYMENT,HOMEBASE LTD,,,,
21/10/2019,-6.99,PAYMENT,AMFBOWLING.CO.UK,,,,
21/10/2019,-5.5,PAYMENT,EAST SURREY HOSPIT,,,,
21/10/2019,-5,PAYMENT,THE WORKS,,,,
21/10/2019,-3.4,PAYMENT,PUCCINO'S REDHILL,,,,
21/10/2019,-2.6,PAYMENT,ITUNES.COM/BILL,,,,
21/10/2019,-2.55,PAYMENT,MILK&MORE,,,,
21/10/2019,-2.49,PAYMENT,EAST SURREY HOSPIT,,,,
21/10/2019,-2.2,PAYMENT,WM MORRISONS STORE,,,,
21/10/2019,-1.75,PAYMENT,EAST SURREY HOSPIT,,,,
21/10/2019,-1,PAYMENT,PUCCINOS REDHILL P,,,,
21/10/2019,-4.55,CASH,BOOTS,,,,
21/10/2019,-10,CASH,PRET A MANGER,,,,
21/10/2019,-28.75,PAYMENT,HALFORDS,,,,
21/10/2019,-2.3,PAYMENT,REIGATE EXPRESS,,,,
18/10/2019,10.95,DIRECTDEP,HN&WM LTD,,,,
18/10/2019,-20.05,PAYMENT,AMZNMktplace,,,,
18/10/2019,-2.7,PAYMENT,SMALLFIELD RIDING,,,,
18/10/2019,-3.24,PAYMENT,THE SCIENCE MUSEUM,,,,
18/10/2019,-31.57,DIRECTDEBIT,NEW SOUTHERN RAILW,,,,
17/10/2019,3.48,BCC,SCIENCE MUSEUM-BEN,,,,
17/10/2019,0.7,BCC,SAINSBURYS S/MKTS,,,,
17/10/2019,-1.4,PAYMENT,CLAIRE'S ACCESSORI,,,,
17/10/2019,-34.9,PAYMENT,EAST SURREY HOSPIT,,,,
16/10/2019,11.46,DIRECTDEP,BOOTS,,,,
16/10/2019,-20,PAYMENT,SHELL CLEARVIEW,,,,
16/10/2019,-3,PAYMENT,GOOGLE,,,,
16/10/2019,-2.7,PAYMENT,ITUNES.COM/BILL,,,,
16/10/2019,-1.39,PAYMENT,SHELL CLEARVIEW,,,,
16/10/2019,-1.3,PAYMENT,SAINSBURYS S/MKTS,,,,
16/10/2019,-99.87,PAYMENT,EAST SURREY HOSPIT,,,,
16/10/2019,-10,DIRECTDEBIT,NEXT DIRECTORY,,,,
15/10/2019,20,DIRECTDEP,GOOGLE,,,,
15/10/2019,-201.64,FT,POST OFFICE COUNTE,,,,
15/10/2019,-1.09,PAYMENT,EAST SURREY HOSPIT,,,,
15/10/2019,-10,CASH,Spotify UK,,,,
15/10/2019,-3,PAYMENT,POST OFFICE COUNTE,,,,
15/10/2019,-2.3,PAYMENT,EAST SURREY HOSPIT,,,,
15/10/2019,-20,REPEATPMT,M&S SIMPLY FOOD -,,,,
14/10/2019,12.3,BCC,BOOTS,,,,
14/10/2019,18.99,OTH,WH SMITH TRAVEL,,,,
14/10/2019,220,DIRECTDEP,REIGATE PARISH CHU,,,,
14/10/2019,-20.01,PAYMENT,WM MORRISONS STORE,,,,
14/10/2019,-13.25,PAYMENT,SAINSBURYS BANK,,,,
14/10/2019,-9.29,PAYMENT,PAYPAL,,,,
14/10/2019,-7.55,PAYMENT,PAYPAL,,,,
14/10/2019,-7.15,PAYMENT,PAYPAL,,,,
14/10/2019,-5.65,PAYMENT,PAYPAL,,,,
14/10/2019,-4.7,PAYMENT,SOUTHERN CO-OP,,,,
14/10/2019,-3,PAYMENT,SHELL CLEARVIEW,,,,
14/10/2019,-3,PAYMENT,EAST SURREY HOSPIT,,,,
14/10/2019,-2.5,PAYMENT,AMZNMKTPLACE AMAZO,,,,
14/10/2019,-1.9,PAYMENT,HOMEBASE LTD,,,,
14/10/2019,-20,CASH,CO-OP GROUP FOOD,,,,
14/10/2019,-32.35,PAYMENT,MCDONALDS,,,,
14/10/2019,-21.94,PAYMENT,HOLBORNS LIMITED,,,,
14/10/2019,-13,PAYMENT,EAST SURREY HOSPIT,,,,
14/10/2019,-3,PAYMENT,LONDIS,,,,
14/10/2019,-19.71,DIRECTDEBIT,GODSTONE FARM LIMI,,,,
14/10/2019,-18.99,DIRECTDEBIT,GODSTONE FARM LIMI,,,,
14/10/2019,-300,DIRECTDEBIT,GODSTONE FARM LIMI,,,,
11/10/2019,13,FT,GODSTONE FARM LIMI,,,,
11/10/2019,60,DIRECTDEP,GODSTONE FARM LIMI,,,,
11/10/2019,-10,PAYMENT,GODSTONE FARM LIMI,,,,
11/10/2019,-2,PAYMENT,NEW SOUTHERN RAILW,,,,
11/10/2019,-8.99,PAYMENT,EAST SURREY HOSPIT,,,,
11/10/2019,-3.24,PAYMENT,PUCCINO'S REDHILL,,,,
11/10/2019,-3,PAYMENT,EAST SURREY HOSPIT,,,,
11/10/2019,-0.7,PAYMENT,FRIENDS OF EAST SU,,,,
10/10/2019,-50,FT,WM MORRISONS STORE,,,,
10/10/2019,-100,FT,MILK&MORE,,,,
10/10/2019,-27.3,PAYMENT,URBAN EXPRESS,,,,
10/10/2019,-3,PAYMENT,EAST SURREY HOSPIT,,,,
10/10/2019,-1,PAYMENT,NEW SOUTHERN RAILW,,,,
10/10/2019,-10,CASH,PUCCINO'S REDHILL,,,,
09/10/2019,200,DIRECTDEP,REIGATE&BANSTEAD,,,,
