,Memo,Subcategory,month,Amount
0,1ST STOP STATIONER,PAYMENT,1,-23.79
1,1ST STOP STATIONER,PAYMENT,3,-6.53
2,1ST STOP STATIONER,PAYMENT,5,-11.11
3,1ST STOP STATIONER,PAYMENT,6,-14.91
4,1ST STOP STATIONER,PAYMENT,7,-7.16
5,398-DUTY FREE AMER    USA,PAYMENT,2,-35.06
6,41REIGATE             REIGATE 41,PAYMENT,7,-8600.0
7,41REIGATE             REIGATE 41,PAYMENT,8,-3010.0
8,42REDHILL,PAYMENT,7,-3000.0
9,43REIGATE             REIGATE 43,PAYMENT,6,-1000.0
10,43REIGATE             REIGATE 43,PAYMENT,7,-5000.0
11,44111 OLE STEEN,PAYMENT,1,-15.5
12,44111 OLE STEEN,PAYMENT,2,-6.2
13,44111 OLE STEEN VI,PAYMENT,5,-17.1
14,44111 OLE STEEN VI,PAYMENT,6,-12.95
15,AA DRIVETECH,PAYMENT,8,-91.0
16,ACCESSORIZE,PAYMENT,2,-16.5
17,ADOBE PHOTOGPHY,PAYMENT,1,-9.98
18,ADOBE PHOTOGPHY,PAYMENT,2,-9.98
19,ADOBE PHOTOGPHY,PAYMENT,3,-9.98
20,ADOBE PHOTOGPHY,PAYMENT,4,-9.98
21,ADOBE PHOTOGPHY,PAYMENT,5,-9.98
22,ADOBE PHOTOGPHY,PAYMENT,6,-9.98
23,ADOBE PHOTOGPHY,PAYMENT,7,-9.98
24,ADOBE PHOTOGPHY,PAYMENT,8,-9.98
25,ADOBE STOCK           IRELAND,PAYMENT,5,-23.99
26,ADOBE STOCK           IRELAND,PAYMENT,6,-23.99
27,ADOBE STOCK           IRELAND,PAYMENT,7,-23.99
28,ADOBE STOCK           IRELAND,PAYMENT,9,-23.99
29,ALDI,PAYMENT,6,-48.99
30,ALDI,PAYMENT,7,-133.45
31,ALDI,PAYMENT,8,-60.96
32,ALLDAYS,PAYMENT,7,-2.7
33,AMAZON PRIME,PAYMENT,5,-7.99
34,AMAZON.CO.UK,PAYMENT,3,-95.28999999999999
35,AMAZON.CO.UK,PAYMENT,7,-34.99
36,AMAZON.CO.UK,PAYMENT,8,-37.97
37,AMF BOWLING,PAYMENT,5,-38.65
38,AMFBOWLING.CO.UK,PAYMENT,2,-5.94
39,AMT COFFEE,PAYMENT,1,-1.75
40,AMT COFFEE,PAYMENT,3,-1.75
41,AMT COFFEE,PAYMENT,4,-1.75
42,AMT COFFEE,PAYMENT,5,-1.75
43,AMT COFFEE,PAYMENT,6,-1.9
44,AMT COFFEE,PAYMENT,9,-1.7
45,AMZN DIGITAL,PAYMENT,1,-7.99
46,AMZN DIGITAL,PAYMENT,3,-17.21
47,AMZN MKTP UK,PAYMENT,1,-29.99
48,AMZN MKTP UK,PAYMENT,2,-5.07
49,AMZN MKTP UK,PAYMENT,3,-9.0
50,AMZN Mktp UK,PAYMENT,1,-70.03
51,AMZN Mktp UK,PAYMENT,3,-3.99
52,AMZN Mktp UK,PAYMENT,4,-4.72
53,AMZNMKTPLACE AMAZO,PAYMENT,7,-11.49
54,AMZNMktplace,PAYMENT,7,-94.95000000000002
55,AMZNMktplace,PAYMENT,8,-71.98
56,AMZNMktplace,PAYMENT,9,-77.96
57,ANDERTONS MUSIC,PAYMENT,4,-74.99
58,ARGOS,PAYMENT,4,-47.99
59,ARGOS,PAYMENT,6,-29.99
60,ARK ENTERPRISES LI,PAYMENT,8,-19.9
61,ASK REIGATE,PAYMENT,2,-16.62
62,AirHop Bristol Ltd,PAYMENT,4,-244.2
63,AirHop Ltd,PAYMENT,4,-5.4
64,Amazon Prime,PAYMENT,6,-7.99
65,Amazon Prime,PAYMENT,7,-7.99
66,Amazon Prime,PAYMENT,8,-79.0
67,Amazon Prime,PAYMENT,9,-7.99
68,Amazon.co.uk,PAYMENT,1,-5.95
69,Amazon.co.uk,PAYMENT,2,-25.68
70,Amazon.co.uk,PAYMENT,3,-11.56
71,Amazon.co.uk,PAYMENT,4,-25.29
72,Amazon.co.uk,PAYMENT,7,-73.5
73,Audible UK,PAYMENT,2,-18.0
74,Audible.co.uk,PAYMENT,2,-7.99
75,Audible.co.uk,PAYMENT,3,-7.99
76,Audible.co.uk,PAYMENT,4,-7.99
77,Audible.co.uk,PAYMENT,5,-7.99
78,Audible.co.uk,PAYMENT,6,-7.99
79,Audible.co.uk,PAYMENT,7,-7.99
80,Audible.co.uk,PAYMENT,8,-7.99
81,Audible.co.uk,PAYMENT,9,-7.99
82,B &amp; M RETAIL,PAYMENT,6,-13.86
83,B &amp; Q 1155,PAYMENT,5,-9.5
84,B &amp; Q 1155,PAYMENT,7,-53.2
85,BACKYARD CAFE,PAYMENT,1,-18.05
86,BAMBALAN,PAYMENT,5,-50.0
87,BASIL WHOLEFOODS L,PAYMENT,1,-7.45
88,BATHROOMSTORE.CO,PAYMENT,5,-52.72
89,BAXTER &amp; GREENE       IRELAND,PAYMENT,6,-6.36
